cruise,st,depth_m,substrate,method,repl,intensity_MGV.um2/h
MOBY,M2,500,HPG,BONCAT,A,2.065645027
MOBY,M2,500,HPG,BONCAT,A,2.952313599
MOBY,M2,500,HPG,BONCAT,A,1.61979784
MOBY,M2,500,HPG,BONCAT,A,6.110680936
MOBY,M2,500,HPG,BONCAT,A,1.861920976
MOBY,M2,500,HPG,BONCAT,A,1.961763222
MOBY,M2,500,HPG,BONCAT,A,5.435244667
MOBY,M2,500,HPG,BONCAT,A,3.094789084
MOBY,M2,500,HPG,BONCAT,A,1.218267817
MOBY,M2,500,HPG,BONCAT,A,7.128813577
MOBY,M2,500,HPG,BONCAT,A,1.910080432
MOBY,M2,500,HPG,BONCAT,A,0.499949548
MOBY,M2,500,HPG,BONCAT,A,5.185354696
MOBY,M2,500,HPG,BONCAT,A,3.804778051
MOBY,M2,500,HPG,BONCAT,A,1.483784215
MOBY,M2,500,HPG,BONCAT,A,5.135738428
MOBY,M2,500,HPG,BONCAT,A,2.758969396
MOBY,M2,500,HPG,BONCAT,A,8.545684129
MOBY,M2,500,HPG,BONCAT,A,0.599591668
MOBY,M2,500,HPG,BONCAT,A,8.805540254
MOBY,M2,500,HPG,BONCAT,A,2.440025717
MOBY,M2,500,HPG,BONCAT,A,0.987246645
